"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Purchase Order Requests","0","Purchase Order Request Reject","2","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice CheckList Reject","1","0","","0"
"0","Requisitions","0","Requisition Approve","2","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Return","1","0","","0"
"0","Inspections","0","Inspection Create","1","0","","0"
"0","Purchase Order Requests","0","Purchase Order Request Create","2","0","","0"
"0","Technical Evaluation","0","Technical Evaluation Create","1","0","","0"
"0","Work Order Create","0","Work Order Invoice Create","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Hold","1","0","","0"
"0","Purchase Orders","0","Purchase Order Send To Vendor","1","1","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Send For Approval","2","0","","0"
"0","Work Orders","0","Work Orders Tracker Status","1","0","","0"
"0","Order Schedules","0","Order Schedule Create","1","0","","0"
"0","Freight Forwarder Requests","0","Freight Forwarder Requests Invite","1","0","","0"
"0","Work Order Approve","0","Work Order Invoice Approve","1","0","","0"
"0","Work Order Revert","0","Work Order Invoice Revert","1","0","","0"
"0","Requisitions","0","Requisition Reject","2","0","","0"
"0","Quotation","0","Quotation Regret","1","0","","0"
"0","Work Orders","0","Work Orders Edit","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Revert","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Edit","1","0","","0"
"0","Request For Quotation","0","Request For Quotation Suspend Requisition Edit","1","0","","0"
"0","Dispatch Notes","0","Dispatch Notes Edit","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Cancel","1","2","","0"
"0","Purchase Order Requests","0","Purchase Order Request Send For Approval","2","0","","0"
"0","Inspections","0","Inspection Fail","1","0","","0"
"0","Work Order Send For Approval","0","Work Order Invoice Send For Approval","1","0","","0"
"0","Purchase Order Requests","0","Purchase Order Request Edit","2","0","","0"
"0","Purchase Order Requests","0","Purchase Order Request Suspend","2","0","","0"
"0","Work Order Checklist Reject","0","Work Order Invoice Checklist Reject","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice CheckList Accept","2","0","","0"
"0","Requisitions","0","Requisition Buyer Suspend","2","0","","0"
"0","Dispatch Notes","0","Dispatch Notes Return","1","0","","0"
"0","","0","","1","0","","0"
"0","Freight Forwarder Requests","0","Freight Forwarder Requests Re-Quote","1","0","","0"
"0","Purchase Order Requests","0","Purchase Order Request Approve","2","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Create","1","1","","0"
"0","Work Order Cancel","0","Work Order Invoice Cancel","1","0","","0"
"0","Requisitions","0","Requisition Buyer Manager Suspend","2","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Verify","2","0","","0"
"0","Requisitions","0","Requisition Edit","2","0","","0"
"0","Work Orders","0","Work Orders Create","1","0","","0"
"0","Order Schedules","0","Order Schedule Reject","1","0","","0"
"0","Work Order Return","0","Work Order Invoice Return","1","0","","0"
"0","Order Schedules","0","Order Schedule Approve","1","0","","0"
"0","Inspections","0","Inspection Ready For Inspection","1","0","","0"
"0","Quotation","0","Quotation Re-Quote","1","0","","0"
"0","Requisitions","0","Requisition Create","2","0","","0"
"0","Requisitions","0","Requisition Send For Approval","2","0","","0"
"0","Purchase Order Requests","1","Purchase Order Request Revision","1","0","","0"
"0","Technical Evaluation","0","Technical Evaluation Approve","1","0","","0"
"0","Work Order Reject","0","Work Order Invoice Reject","1","0","","0"
"0","Work Order Edit","0","Work Order Invoice Edit","1","0","","0"
"0","Request For Quotation","0","Ready For Evaluation","1","0","","0"
"0","Dispatch Notes","0","Dispatch Notes Cancel","1","0","","0"
"0","Request For Quotation","0","Request For Quotation Edit","1","0","","0"
"0","Work Order Hold","0","Work Order Invoice Hold","1","0","","0"
"0","Work Order Verify","0","Work Order Invoice Verify","1","0","","0"
"0","Commercial Evaluation","0","Commercial Evaluation Create","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Reject","1","0","","0"
"0","Quotation","0","Quotation Submit","1","0","","0"
"0","Purchase Order Invoice","0","Purchase Order Invoice Approve","2","0","","0"
"0","Work Order Checklist Accept","0","Work Order Invoice Checklist Accept","1","0","","0"
"0","Dispatch Notes","0","Dispatch Notes Assign","1","0","","0"
"0","Inspections","0","Inspection Assign","1","0","","0"
"0","Request For Quotation","0","Request For Quotation Suspend Request For Quotation Edit","1","0","","0"
"0","Request For Quotation","0","Request For Quotation Create","1","0","","0"
"0","Order Schedules","0","Order Schedule Edit","1","0","","0"
"0","Technical Evaluation","0","Technical Evaluation Reject","1","0","","0"
"0","Freight Forwarder Requests","0","Freight Forwarder Requests Quote","1","0","","0"
"0","Dispatch Notes","0","Dispatch Notes Create","1","0","","0"
"0","Work Orders","0","Work Orders Ok For Invoice","1","0","","0"
