"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Description: Verify Approvers Can Able To Reject The Purchase Order Request","17010","Purchase Order Request Reject Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:11:25 IST 2025","passed","Tue May 27 18:11:42 IST 2025","com.source.classes.purchaseorderrequests.reject.PorRejectTest","Purchase Order Request Reject","com.source.classes.purchaseorderrequests.reject.PorRejectTest","reject"
"Test Description: Verify Verifier Can Able To Reject The Purchase Order Invoice Checklist","4940","Purchase Order Invoice CheckList Reject Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:07 IST 2025","passed","Tue May 27 18:22:12 IST 2025","com.source.classes.invoices.poinvoice.checklist.PoInvChecklistRejectTest","PO Invoice Checklist Reject","com.source.classes.invoices.poinvoice.checklist.PoInvChecklistRejectTest","reject"
"Test Description: Verify Approvers Can Approve The Requisition","0","Requisition Approve Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:06:53 IST 2025","passed","Tue May 27 18:06:53 IST 2025","com.source.classes.requisitions.approve.ApproveTest","Requisition Approve","com.source.classes.requisitions.approve.ApproveTest","approve"
"Test Description: Verify Verifier Can Able To Return The Purchase Order Invoice","7502","Purchase Order Invoice Return Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:12 IST 2025","passed","Tue May 27 18:22:19 IST 2025","com.source.classes.invoices.poinvoice.invreturn.PoInvReturnTest","PO Invoice Return","com.source.classes.invoices.poinvoice.invreturn.PoInvReturnTest","returnMethod"
"Test Description: Verify Requester Can Create The Inspection","8283","Inspections Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:28 IST 2025","passed","Tue May 27 18:16:36 IST 2025","com.source.classes.inspections.create.InsCreateTest","Inspection Create","com.source.classes.inspections.create.InsCreateTest","create"
"Test Description: Verify Buyer Can Able To Create The Purchase Order Request","14067","Purchase Order Request Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:14:29 IST 2025","passed","Tue May 27 18:14:43 IST 2025","com.source.classes.purchaseorderrequests.create.PorCreateTest","Purchase Order Request Create","com.source.classes.purchaseorderrequests.create.PorCreateTest","create"
"Test Description: Verify Requester Can Able To Create The Technical Evaluation","10310","Technical Evaluation Create Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:09:33 IST 2025","passed","Tue May 27 18:09:43 IST 2025","com.source.classes.requestforquotations.technicalevaluation.TechnicalEvaluationCreateTest","Request For Quotation Technical Evaluation Create","com.source.classes.requestforquotations.technicalevaluation.TechnicalEvaluationCreateTest","TechnicalEvaluationCreate"
"Test Description: Verify Verifier Can Able To Create The Work Order Invoice","8525","Work Order Invoice Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:55:22 IST 2025","passed","Tue May 27 18:55:31 IST 2025","com.source.classes.invoices.woinvoice.create.WoInvCreateTest","WO Invoice Create","com.source.classes.invoices.woinvoice.create.WoInvCreateTest","create"
"Test Description: Verify Verifier Can Able To Hold The Purchase Order Invoice","5606","Purchase Order Invoice Hold Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:37 IST 2025","passed","Tue May 27 18:22:42 IST 2025","com.source.classes.invoices.poinvoice.hold.PoInvHoldTest","PO Invoice Hold","com.source.classes.invoices.poinvoice.hold.PoInvHoldTest","hold"
"Test Description: Verify Buyer Can Able To Send The Purchase Order To Vendor","0","Purchase Order Send To Vendor Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:12:02 IST 2025","skipped","Tue May 27 18:12:02 IST 2025","com.source.classes.purchaseorders.PoSendForVendorTest","Purchase Order Send For Vendor","com.source.classes.purchaseorders.PoSendForVendorTest","sendForVendor"
"Test Description: Verify Verifier Can Able To Send The Purchase Order Invoice For Approval","5900","Purchase Order Invoice Send For Approval Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:49:21 IST 2025","passed","Tue May 27 18:49:27 IST 2025","com.source.classes.invoices.poinvoice.sendforapproval.PoInvSendForApprovalTest","PO Invoice Send For Approval","com.source.classes.invoices.poinvoice.sendforapproval.PoInvSendForApprovalTest","sendForApproval"
"Test Description: Verify Vendor Can Able To Update The Work Order Tracker Status","16133","Work Order Tracker Status Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:21:08 IST 2025","passed","Tue May 27 18:21:24 IST 2025","com.source.classes.workorders.trackerstatus.WoTrackerStatusTest","Work Order Tracker Status","com.source.classes.workorders.trackerstatus.WoTrackerStatusTest","trackerStatus"
"Test Description: Verify Vendor Can Able To Create The Order Schedule","6730","Order Schedule Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:15:42 IST 2025","passed","Tue May 27 18:15:48 IST 2025","com.source.classes.orderschedules.create.OsCreateTest","Order Schedule Create","com.source.classes.orderschedules.create.OsCreateTest","create"
"Test Description: Verify Logistics Manager Can Invite The Freight Forwarder","12434","Freight Forwarder Invite Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:17:17 IST 2025","passed","Tue May 27 18:17:30 IST 2025","com.source.classes.freightforwarderrequests.invite.FfrInviteTest","Freight Forwarder Invite","com.source.classes.freightforwarderrequests.invite.FfrInviteTest","invite"
"Test Description: Verify Approvers Can Able To Approve The Work Order Invoice","7493","Work Order Invoice Approve Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:56:48 IST 2025","passed","Tue May 27 18:56:56 IST 2025","com.source.classes.invoices.woinvoice.approve.WoInvApprovalTest","WO Invoice Approve","com.source.classes.invoices.woinvoice.approve.WoInvApprovalTest","approval"
"Test Description: Verify Verifier Can Able To Revert The Work Order Invoice","5545","Work Order Invoice Revert Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:56:18 IST 2025","passed","Tue May 27 18:56:24 IST 2025","com.source.classes.invoices.woinvoice.revert.WoInvRevertTest","WO Invoice Revert","com.source.classes.invoices.woinvoice.revert.WoInvRevertTest","revert"
"Test Description: Verify Approvers Can Reject The Requisition","0","Requisition Reject Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:06:53 IST 2025","passed","Tue May 27 18:06:53 IST 2025","com.source.classes.requisitions.reject.RejectTest","Requisition Reject","com.source.classes.requisitions.reject.RejectTest","reject"
"Test Description: Verify Vendor Can Able To Regret The Quotation","12661","Quotation Regret Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:08:41 IST 2025","passed","Tue May 27 18:08:54 IST 2025","com.source.classes.requestforquotations.regret.RegretTest","Request For Quotation Registered Vendor Quotation Regret","com.source.classes.requestforquotations.regret.RegretTest","regret"
"Test Description: Verify Assigned User Can Able To Edit The Work Order","7197","Work Order Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:21:00 IST 2025","passed","Tue May 27 18:21:08 IST 2025","com.source.classes.workorders.edit.WoEditTest","Work Order Edit","com.source.classes.workorders.edit.WoEditTest","edit"
"Test Description: Verify Verifier Can Able To Revert The Purchase Order Invoice","6176","Purchase Order Invoice Revert Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:42 IST 2025","passed","Tue May 27 18:22:48 IST 2025","com.source.classes.invoices.poinvoice.revert.PoInvRevertTest","PO Invoice Revert","com.source.classes.invoices.poinvoice.revert.PoInvRevertTest","revert"
"Test Description: Verify Vendor Can Able To Edit The Purchase Order Invoice","5883","Purchase Order Invoice Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:19 IST 2025","passed","Tue May 27 18:22:25 IST 2025","com.source.classes.invoices.poinvoice.edit.PoInvEditTest","PO Invoice Edit","com.source.classes.invoices.poinvoice.edit.PoInvEditTest","edit"
"Test Description: Verify Buyer Can Able To Suspend The Request For Quotation and Edit The Requisition","31496","Request For Quotation Suspend Requisition Edit Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:08:10 IST 2025","passed","Tue May 27 18:08:41 IST 2025","com.source.classes.requestforquotations.suspend.RfqSuspendPrEditTest","Request For Quotation Suspend PR Edit","com.source.classes.requestforquotations.suspend.RfqSuspendPrEditTest","RfqSuspendPrEdit"
"Test Description: Verify Vendor Can Edit The Dispatch Notes","6723","Dispatch Notes Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:17:11 IST 2025","passed","Tue May 27 18:17:17 IST 2025","com.source.classes.dispatchnotes.edit.DnEditTest","Dispatch Note Edit","com.source.classes.dispatchnotes.edit.DnEditTest","edit"
"Test Description: Verify Verifier Can Able To Cancel The Purchase Order Invoice","0","Purchase Order Invoice Cancel Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:12:02 IST 2025","skipped","Tue May 27 18:12:02 IST 2025","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","PO Invoice Cancel","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","cancel"
"Test Description: Verify Buyer Can Able To Send The Purchase Order Request For Approval","9304","Purchase Order Request Send For Approval Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:11:16 IST 2025","passed","Tue May 27 18:11:25 IST 2025","com.source.classes.purchaseorderrequests.sendforapproval.PorSendForApprovalTest","Purchase Order Request Send For Approval","com.source.classes.purchaseorderrequests.sendforapproval.PorSendForApprovalTest","sendForApproval"
"Test Description: Verify Assigned User Can Fail The Inspection","10894","Inspections Fail Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:17 IST 2025","passed","Tue May 27 18:16:28 IST 2025","com.source.classes.inspections.fail.InsFailTest","Inspection Fail","com.source.classes.inspections.fail.InsFailTest","fail"
"Test Description: Verify Verifier Can Able To Send The Work Order Invoice For Approval","5742","Work Order Invoice Send For Approval Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:56:24 IST 2025","passed","Tue May 27 18:56:29 IST 2025","com.source.classes.invoices.woinvoice.sendforapproval.WoInvSendForApprovalTest","WO Invoice Send For Approval","com.source.classes.invoices.woinvoice.sendforapproval.WoInvSendForApprovalTest","sendForApproval"
"Test Description: Verify Buyer Can Able To Edit The Purchase Order Request","7642","Purchase Order Request Edit Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:10:25 IST 2025","passed","Tue May 27 18:10:33 IST 2025","com.source.classes.purchaseorderrequests.edit.PorEditTest","Purchase Order Request Edit","com.source.classes.purchaseorderrequests.edit.PorEditTest","edit"
"Test Description: Verify Buyer Can Able To Suspend The Purchase Order Request","56867","Purchase Order Request Suspend Test","GePS-HOPES_YEA PS Catalog Test Cases","Mon May 26 19:05:40 IST 2025","passed","Mon May 26 19:06:36 IST 2025","com.source.classes.purchaseorderrequests.suspend.SuspendEditTest","Purchase Order Request Suspend","com.source.classes.purchaseorderrequests.suspend.SuspendEditTest","suspend"
"Test Description: Verify Verifier Can Able To Send The Purchase Order Invoice For Approval","6423","Purchase Order Invoice Send For Approval Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:48 IST 2025","passed","Tue May 27 18:22:55 IST 2025","com.source.classes.invoices.poinvoice.sendforapproval.PoInvSendForApprovalTest","PO Invoice Send For Approval","com.source.classes.invoices.poinvoice.sendforapproval.PoInvSendForApprovalTest","sendForApproval"
"Test Description: Verify Verifier Can Able To Reject The Work Order Invoice Checklist","4485","Work Order Invoice Checklist Reject Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:55:45 IST 2025","passed","Tue May 27 18:55:49 IST 2025","com.source.classes.invoices.woinvoice.checklist.WoInvChecklistRejectTest","WO Invoice Checklist Reject","com.source.classes.invoices.woinvoice.checklist.WoInvChecklistRejectTest","reject"
"Test Description: Verify Verifier Can Able To Accept The Purchase Order Invoice Checklist","5158","Purchase Order Invoice CheckList Accept Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:25 IST 2025","passed","Tue May 27 18:22:30 IST 2025","com.source.classes.invoices.poinvoice.checklist.PoInvChecklistAcceptTest","PO Invoice Checklist Accept","com.source.classes.invoices.poinvoice.checklist.PoInvChecklistAcceptTest","accept"
"Test Description: Verify Buyer Can Suspend The Requisition","24083","Requisition Buyer Suspend Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:07:19 IST 2025","passed","Tue May 27 18:07:43 IST 2025","com.source.classes.requisitions.suspend.BuyerSuspendTest","Requisition Buyer Suspend","com.source.classes.requisitions.suspend.BuyerSuspendTest","suspend"
"Test Description: Verify Logistics Manager Can Return The Dispatch Notes","6011","Dispatch Notes Return Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:17:05 IST 2025","passed","Tue May 27 18:17:11 IST 2025","com.source.classes.dispatchnotes.dnreturn.DnReturnTest","Dispatch Note Return","com.source.classes.dispatchnotes.dnreturn.DnReturnTest","dnReturn"
"Test Description: Verify Buyer Can Able To Create The Purchase Order Request","14100","Purchase Order Request Create Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:10:11 IST 2025","passed","Tue May 27 18:10:25 IST 2025","com.source.classes.purchaseorderrequests.create.PorCreateTest","Purchase Order Request Create","com.source.classes.purchaseorderrequests.create.PorCreateTest","create"
"","14969","createAfterCancel","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:21:52 IST 2025","passed","Tue May 27 18:22:07 IST 2025","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","PO Invoice Cancel","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","createAfterCancel"
"Test Description: Verify Vendor Can Re-Quote","11355","Freight Forwarder Re-Quote Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:17:35 IST 2025","passed","Tue May 27 18:17:46 IST 2025","com.source.classes.freightforwarderrequests.requote.FfrRequoteTest","Freight Forwarder Requote","com.source.classes.freightforwarderrequests.requote.FfrRequoteTest","requote"
"Test Description: Verify Approvers Can Able To Approve The Purchase Order Request","24917","Purchase Order Request Approve Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:15:10 IST 2025","passed","Tue May 27 18:15:35 IST 2025","com.source.classes.purchaseorderrequests.approve.PorApproveTest","Purchase Order Request Approve","com.source.classes.purchaseorderrequests.approve.PorApproveTest","approvalAndApprove"
"Test Description: Verify Approvers Can Reject The Requisition","9","Requisition Reject Test","GePS-HOPES_YEA PS Catalog Test Cases","Mon May 26 19:04:26 IST 2025","passed","Mon May 26 19:04:26 IST 2025","com.source.classes.requisitions.reject.RejectTest","Requisition Reject","com.source.classes.requisitions.reject.RejectTest","reject"
"Test Description: Verify Vendor Can Able To Create The Purchase Order Invoice","15444","Purchase Order Invoice Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:48:55 IST 2025","passed","Tue May 27 18:49:11 IST 2025","com.source.classes.invoices.poinvoice.create.PoInvCreateTest","PO Invoice Create","com.source.classes.invoices.poinvoice.create.PoInvCreateTest","create"
"Test Description: Verify Verifier Can Able To Cancel The Work Order Invoice","13735","Work Order Invoice Cancel Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:55:31 IST 2025","passed","Tue May 27 18:55:45 IST 2025","com.source.classes.invoices.woinvoice.cancel.WoInvCancelTest","WO Invoice Cancel","com.source.classes.invoices.woinvoice.cancel.WoInvCancelTest","cancel"
"Test Description: Verify Buyer Manager Can Suspend The Requisition","24067","Requisition Buyer Manager Suspend Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:14:05 IST 2025","passed","Tue May 27 18:14:29 IST 2025","com.source.classes.requisitions.suspend.BuyerManagerSuspendTest","Requisition Buyer Manager Suspend","com.source.classes.requisitions.suspend.BuyerManagerSuspendTest","suspend"
"Test Description: Verify Verifier Can Able To Verify The Purchase Order Invoice","5799","Purchase Order Invoice Verify Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:49:15 IST 2025","passed","Tue May 27 18:49:21 IST 2025","com.source.classes.invoices.poinvoice.verify.PoInvVerifyTest","PO Invoice Verify","com.source.classes.invoices.poinvoice.verify.PoInvVerifyTest","verify"
"Test Description: Verify Requester Can Edit The Requisition","7028","Requisition Edit Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:06:41 IST 2025","passed","Tue May 27 18:06:48 IST 2025","com.source.classes.requisitions.edit.EditTest","Requisition Edit","com.source.classes.requisitions.edit.EditTest","edit"
"Test Description: Verify Assigned User Can Able To Create The Work Order","9111","Work Order Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:17:46 IST 2025","passed","Tue May 27 18:17:55 IST 2025","com.source.classes.workorders.create.WoCreateTest","Work Order Create","com.source.classes.workorders.create.WoCreateTest","create"
"Test Description: Verify Approver Can Able To Reject The Order Schedule","5122","Order Schedule Reject Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:15:48 IST 2025","passed","Tue May 27 18:15:54 IST 2025","com.source.classes.orderschedules.reject.OsRejectTest","Order Schedule Reject","com.source.classes.orderschedules.reject.OsRejectTest","reject"
"Test Description: Verify Verifier Can Able To Return The Work Order Invoice","7081","Work Order Invoice Return Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:55:49 IST 2025","passed","Tue May 27 18:55:56 IST 2025","com.source.classes.invoices.woinvoice.invreturn.WoInvReturnTest","WO Invoice Return","com.source.classes.invoices.woinvoice.invreturn.WoInvReturnTest","returnMethod"
"Test Description: Verify Approver Can Able To Approve The Order Schedule","6395","Order Schedule Approve Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:00 IST 2025","passed","Tue May 27 18:16:06 IST 2025","com.source.classes.orderschedules.approval.OsApproveTest","Order Schedule Approve","com.source.classes.orderschedules.approval.OsApproveTest","approve"
"Test Description: Verify Vendor Can Make The Ready For Inspection","5151","Inspections Ready For Inspection Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:06 IST 2025","passed","Tue May 27 18:16:11 IST 2025","com.source.classes.inspections.readyforinspection.InsReadyForInspectionTest","Ready For Inspection","com.source.classes.inspections.readyforinspection.InsReadyForInspectionTest","readyForInspection"
"Test Description: Verify Approvers Can Able To Approve The Purchase Order Request","17209","Purchase Order Request Approve Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:11:42 IST 2025","passed","Tue May 27 18:11:59 IST 2025","com.source.classes.purchaseorderrequests.approve.PorApproveTest","Purchase Order Request Approve","com.source.classes.purchaseorderrequests.approve.PorApproveTest","approvalAndApprove"
"Test Description: Verify Vendor Can Able To Re-Submit The Quotation","11766","Quotation Re-Quote Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:09:14 IST 2025","passed","Tue May 27 18:09:26 IST 2025","com.source.classes.requestforquotations.requote.RequoteTest","Request For Quotation Registered Vendor Quotation Requote","com.source.classes.requestforquotations.requote.RequoteTest","requote"
"Test Description: Verify Requester Can Create The Requisition","14389","Requisition Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:13:45 IST 2025","passed","Tue May 27 18:13:59 IST 2025","com.source.classes.requisitions.create.CreateTest","Requisition Create","com.source.classes.requisitions.create.CreateTest","create"
"Test Description: Verify Verifier Can Able To Cancel The Purchase Order Invoice","6904","Purchase Order Invoice Cancel Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:21:45 IST 2025","passed","Tue May 27 18:21:52 IST 2025","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","PO Invoice Cancel","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","cancel"
"Test Description: Verify Approvers Can Able To Reject The Purchase Order Request","17224","Purchase Order Request Reject Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:14:53 IST 2025","passed","Tue May 27 18:15:10 IST 2025","com.source.classes.purchaseorderrequests.reject.PorRejectTest","Purchase Order Request Reject","com.source.classes.purchaseorderrequests.reject.PorRejectTest","reject"
"Test Description: Verify Buyer Can Able To Suspend The Purchase Order Request","42935","Purchase Order Request Suspend Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:10:33 IST 2025","passed","Tue May 27 18:11:16 IST 2025","com.source.classes.purchaseorderrequests.suspend.SuspendEditTest","Purchase Order Request Suspend","com.source.classes.purchaseorderrequests.suspend.SuspendEditTest","suspend"
"Test Description: Verify Requester Can Send The Requisition For Approval","5891","Requisition Send For Approval Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:13:59 IST 2025","passed","Tue May 27 18:14:05 IST 2025","com.source.classes.requisitions.sendforapproval.SendForApprovalTest","Requisition Send For Approval","com.source.classes.requisitions.sendforapproval.SendForApprovalTest","sendForApproval"
"Test Description: Verify Buyer Can Able To Revise The Purchase Order Request","38419","Purchase Order Request Revision Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 17:44:26 IST 2025","passed","Tue May 27 17:45:04 IST 2025","com.source.classes.purchaseorderrequests.revision.PorRevisionTest","Purchase Order Request Revision Request","com.source.classes.purchaseorderrequests.revision.PorRevisionTest","porRevision"
"Test Description: Verify Approver Can Able To Approve The Technical Evaluation","6028","Technical Evaluation Approve Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:09:58 IST 2025","passed","Tue May 27 18:10:04 IST 2025","com.source.classes.requestforquotations.technicalevaluation.TechnicalEvaluationApproveTest","Request For Quotation Technical Evaluation Approve","com.source.classes.requestforquotations.technicalevaluation.TechnicalEvaluationApproveTest","TechnicalEvaluationApprove"
