"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","PO Edit","0","PO Edit Functionality","2","0","","0"
"0","PO Reject","0","PO Reject Functionality","4","0","","0"
"0","Select Vendor","0","Requisition Select Vendor Functionality","1","0","","0"
"0","PO Ammend","0","PO Ammend Functionality","2","0","","0"
"0","Requisition Reject","0","Requisition Reject Functionality","2","0","","0"
"0","Requisition Create","0","Requisition Create Functionality","2","0","","0"
"0","PO Accept","0","PO Accept Functionality","2","0","","0"
"0","Bill Of Quantity Create","0","Bill Of Quantity Create Functionality","1","0","","0"
"0","PO Approve","0","PO Approve Functionality","2","0","","0"
"0","Requisition Approve","0","Requisition Approve Functionality","2","0","","0"
"0","Bill Of Quantity Approve","0","Bill Of Quantity Approve Functionality","1","0","","0"
"0","Bill Of Quantity Reject","0","Bill Of Quantity Reject Functionality","1","0","","0"
"0","Requisition Edit","0","Requisition Edit Functionality","2","0","","0"
