"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Description: Verify The User Can Edit the PO","33098","PO Edit Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:12:09 IST 2025","passed","Mon Jul 14 12:12:42 IST 2025","com.classes.infra.purchaseorder.edit.POEditTest","PO Edit Test","com.classes.infra.purchaseorder.edit.POEditTest","poEditTest"
"Test Description: Verify The User Can Reject the PO","29565","PO Reject Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:18:37 IST 2025","passed","Mon Jul 14 12:19:07 IST 2025","com.classes.bms.purchaseOrders.reject.BmsPORejectTest","PO Reject Test","com.classes.bms.purchaseOrders.reject.BmsPORejectTest","poRejectTest"
"Test Description: Verify The User Can Select Vendor In BMS Requisition","14230","Requisition Select Vendor Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:17:57 IST 2025","passed","Mon Jul 14 12:18:11 IST 2025","com.classes.bms.requisitions.selectVendor.BmsSelectVendorTest","Requisition Select Vendor Test","com.classes.bms.requisitions.selectVendor.BmsSelectVendorTest","selectVnedorTest"
"Test Description: Verify The User Can Ammend the PO","102798","PO Ammend Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:20:28 IST 2025","passed","Mon Jul 14 12:22:11 IST 2025","com.classes.bms.purchaseOrders.amend.BmsPOAmendTest","PO Amend Test","com.classes.bms.purchaseOrders.amend.BmsPOAmendTest","poAmmendTest"
"Test Description: Verify The User Can Reject The Requisition","10098","Requisition Reject Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:17:24 IST 2025","passed","Mon Jul 14 12:17:34 IST 2025","com.classes.bms.requisitions.reject.BmsRejectTest","Requisition Reject Test","com.classes.bms.requisitions.reject.BmsRejectTest","requisitionRejectTest"
"Test Description: Verify The User Can Create BMS Requisition","35801","Requisition Create Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:16:48 IST 2025","passed","Mon Jul 14 12:17:24 IST 2025","com.classes.bms.requisitions.create.BmsCreateTest","Requisition Create Test","com.classes.bms.requisitions.create.BmsCreateTest","requisitionCreateTest"
"Test Description: Verify The User Can Accept the PO","40371","PO Accept Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:15:30 IST 2025","passed","Mon Jul 14 12:16:11 IST 2025","com.classes.infra.purchaseorder.accept.POAcceptTest","PO Accept Test","com.classes.infra.purchaseorder.accept.POAcceptTest","poAcceptTest"
"Test Description: Verify The User Can Edit the PO","33664","PO Edit Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:19:07 IST 2025","passed","Mon Jul 14 12:19:40 IST 2025","com.classes.bms.purchaseOrders.edit.BmsPOEditTest","PO Edit Test","com.classes.bms.purchaseOrders.edit.BmsPOEditTest","poEditTest"
"Test Description: Verify The User Can Create The Bill Of Quantity","30646","Bill Of Quantity Create Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:10:30 IST 2025","passed","Mon Jul 14 12:11:00 IST 2025","com.classes.infra.billofquantity.create.BOQCreateTest","Bill Of Quantity Create Test","com.classes.infra.billofquantity.create.BOQCreateTest","boqCreateTest"
"Test Description: Verify The User Can Approve the PO","12125","PO Approve Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:12:42 IST 2025","passed","Mon Jul 14 12:12:55 IST 2025","com.classes.infra.purchaseorder.approve.POApproveTest","PO Approve Test","com.classes.infra.purchaseorder.approve.POApproveTest","poApproveTest"
"Test Description: Verify The User Can Reject the PO","40991","PO Reject Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:19:47 IST 2025","passed","Mon Jul 14 12:20:28 IST 2025","com.classes.bms.purchaseOrders.ackreject.BmsAckRejectTest","PO Acknowledgement Reject Test","com.classes.bms.purchaseOrders.ackreject.BmsAckRejectTest","poAckRejectTest"
"Test Description: Verify The User Can Approve The Requisition","22518","Requisition Approve Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:10:07 IST 2025","passed","Mon Jul 14 12:10:30 IST 2025","com.classes.infra.requisitions.approve.ApproveTest","Requisition Approve Test","com.classes.infra.requisitions.approve.ApproveTest","requisitionApproveTest"
"Test Description: Verify The User Can Approve The Bill Of Quantity","25214","Bill Of Quantity Approve Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:11:32 IST 2025","passed","Mon Jul 14 12:11:57 IST 2025","com.classes.infra.billofquantity.approve.BOQApproveTest","Bill Of Quantity Approve Test and PO Create Test","com.classes.infra.billofquantity.approve.BOQApproveTest","boqApproveTest"
"Test Description: Verify The User Can Reject The Bill Of Quantity","31700","Bill Of Quantity Reject Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:11:00 IST 2025","passed","Mon Jul 14 12:11:32 IST 2025","com.classes.infra.billofquantity.reject.BOQRejectTest","Bill Of Quantity Reject Test","com.classes.infra.billofquantity.reject.BOQRejectTest","boqRejectTest"
"Test Description: Verify The User Can Accept the PO","42314","PO Accept Test","HDFC_CPC_BMS Test Cases","Mon Jul 14 12:22:11 IST 2025","passed","Mon Jul 14 12:22:53 IST 2025","com.classes.bms.purchaseOrders.accept.BmsPOAcceptTest","PO Accept Test","com.classes.bms.purchaseOrders.accept.BmsPOAcceptTest","poAcceptTest"
"Test Description: Verify The User Can Ammend the PO","116245","PO Ammend Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:13:34 IST 2025","passed","Mon Jul 14 12:15:30 IST 2025","com.classes.infra.purchaseorder.amend.POAmendTest","PO Ammend Test","com.classes.infra.purchaseorder.amend.POAmendTest","poAmmendTest"
"Test Description: Verify The User Can Reject the PO","11886","PO Reject Test","HDFC_CPC_INFRA_Catalog Test Cases","Mon Jul 14 12:11:57 IST 2025","passed","Mon Jul 14 12:12:09 IST 2025","com.classes.infra.purchaseorder.reject.PORejectTest","PO Reject Test","com.classes.infra.purchaseorder.reject.PORejectTest","poRejectTest"
